"id","parent_id:id","name"
"of_naf_25_11","of_naf_25_1","[25.11] Fabrication de structures métalliques et de parties de structures"
"of_naf_25_12","of_naf_25_1","[25.12] Fabrication de portes et fenêtres en métal"
"of_naf_25_2","of_naf_25","[25.2] Fabrication de réservoirs, citernes et conteneurs métalliques"
"of_naf_25_21","of_naf_25_2","[25.21] Fabrication de radiateurs et de chaudières pour le chauffage central"
"of_naf_25_29","of_naf_25_2","[25.29] Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
"of_naf_25_3","of_naf_25","[25.3] Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"of_naf_25_30","of_naf_25_3","[25.30] Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"of_naf_25_4","of_naf_25","[25.4] Fabrication d'armes et de munitions"
"of_naf_25_40","of_naf_25_4","[25.40] Fabrication d'armes et de munitions"
"of_naf_25_5","of_naf_25","[25.5] Forge, emboutissage, estampage; métallurgie des poudres"
"of_naf_25_50","of_naf_25_5","[25.50] Forge, emboutissage, estampage; métallurgie des poudres"
"of_naf_25_6","of_naf_25","[25.6] Traitement et revêtement des métaux; usinage"
"of_naf_25_61","of_naf_25_6","[25.61] Traitement et revêtement des métaux"
"of_naf_25_62","of_naf_25_6","[25.62] Usinage"
"of_naf_25_7","of_naf_25","[25.7] Fabrication de coutellerie, d'outillage et de quincaillerie"
"of_naf_25_71","of_naf_25_7","[25.71] Fabrication de coutellerie"
"of_naf_25_72","of_naf_25_7","[25.72] Fabrication de serrures et de ferrures"
"of_naf_25_73","of_naf_25_7","[25.73] Fabrication d'outillage"
"of_naf_25_9","of_naf_25","[25.9] Fabrication d'autres ouvrages en métaux"
"of_naf_25_91","of_naf_25_9","[25.91] Fabrication de fûts et emballages métalliques similaires"
"of_naf_25_92","of_naf_25_9","[25.92] Fabrication d'emballages métalliques légers"
"of_naf_25_93","of_naf_25_9","[25.93] Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
"of_naf_25_94","of_naf_25_9","[25.94] Fabrication de vis et de boulons"
"of_naf_25_99","of_naf_25_9","[25.99]  Fabrication d'autres produits métalliques n.c.a."
"of_naf_26","of_naf_C","[26] Fabrication de produits informatiques, électroniques et optiques"
"of_naf_26_1","of_naf_26","[26.1] Fabrication de composants et cartes électroniques"
"of_naf_26_11","of_naf_26_1","[26.11] Fabrication de composants électroniques"
"of_naf_26_12","of_naf_26_1","[26.12] Fabrication de cartes électroniques assemblées"
"of_naf_26_2","of_naf_26","[26.2] Fabrication d'ordinateurs et d'équipements périphériques"
"of_naf_26_20","of_naf_26_2","[26.20] Fabrication d'ordinateurs et d'équipements périphériques"
"of_naf_26_3","of_naf_26","[26.3] Fabrication d'équipements de communication"
"of_naf_26_30","of_naf_26_3","[26.30] Fabrication d'équipements de communication "
"of_naf_26_4","of_naf_26","[26.4] Fabrication de produits électroniques grand public"
"of_naf_26_40","of_naf_26_4","[26.40] Fabrication de produits électroniques grand public"
"of_naf_26_5","of_naf_26","[26.5] Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie"
"of_naf_26_51","of_naf_26_5","[26.51] Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation"
"of_naf_26_52","of_naf_26_5","[26.52] Horlogerie"
"of_naf_26_6","of_naf_26","[26.6] Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"of_naf_26_60","of_naf_26_6","[26.60] Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques "
"of_naf_26_7","of_naf_26","[26.7] Fabrication de matériels optique et photographique"
"of_naf_26_70","of_naf_26_7","[26.70] Fabrication de matériels optique et photographique"
"of_naf_26_8","of_naf_26","[26.8] Fabrication de supports magnétiques et optiques"
"of_naf_26_80","of_naf_26_8","[26.80] Fabrication de supports magnétiques et optiques"
"of_naf_27","of_naf_C","[27] Fabrication d'équipements électriques"
